"","album_uri","album_name","album_img","album_release_date","album_release_year","album_popularity","track_name","track_uri","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","key_mode","track_popularity"
"42","1KS5qoTz816CsgxMFujW64","The Head On The Door","https://i.scdn.co/image/ae7f9b496df52ed2dd3b371937fde1b53f8dc79b","1985-08-26","1985-08-26",36,"Six Different Ways","0jkkivVaCS1gBBP4uy9rj7",0.781,0.583,"C",-14.227,"major",0.0371,0.0455,9.24e-05,0.0985,0.717,91.183,197160,3,"C major",29
"43","1KS5qoTz816CsgxMFujW64","The Head On The Door","https://i.scdn.co/image/ae7f9b496df52ed2dd3b371937fde1b53f8dc79b","1985-08-26","1985-08-26",36,"Push","1Js4mWFSdpdfwPktEZdKD3",0.497,0.812,"D",-10.87,"major",0.0428,0.00422,0.25,0.162,0.475,146.917,269723,4,"D major",30
"44","1KS5qoTz816CsgxMFujW64","The Head On The Door","https://i.scdn.co/image/ae7f9b496df52ed2dd3b371937fde1b53f8dc79b","1985-08-26","1985-08-26",36,"The Baby Screams","0Ixjns41Iv9CPt9319LUQr",0.596,0.723,"D",-10.687,"minor",0.0319,0.627,0.0751,0.101,0.882,133.346,227500,4,"D minor",25
"45","1KS5qoTz816CsgxMFujW64","The Head On The Door","https://i.scdn.co/image/ae7f9b496df52ed2dd3b371937fde1b53f8dc79b","1985-08-26","1985-08-26",36,"Close To Me","63EbhPn7ErTnAxJNZixVTS",0.731,0.341,"B",-17.927,"major",0.123,0.154,0.672,0.0771,0.96,184.913,202867,4,"B major",43
"46","1KS5qoTz816CsgxMFujW64","The Head On The Door","https://i.scdn.co/image/ae7f9b496df52ed2dd3b371937fde1b53f8dc79b","1985-08-26","1985-08-26",36,"A Night Like This","5VLjpGPn9V6qWQfhDTL5KE",0.621,0.789,"F#",-10.53,"minor",0.0293,0.0273,2.79e-05,0.103,0.711,121.796,256960,4,"F# minor",30
"47","1KS5qoTz816CsgxMFujW64","The Head On The Door","https://i.scdn.co/image/ae7f9b496df52ed2dd3b371937fde1b53f8dc79b","1985-08-26","1985-08-26",36,"Screw","1L89cuUJtmyxfsEkQKnAbN",0.759,0.851,"C",-10.751,"major",0.0604,0.52,0.611,0.116,0.658,116.99,156750,4,"C major",23
"48","1KS5qoTz816CsgxMFujW64","The Head On The Door","https://i.scdn.co/image/ae7f9b496df52ed2dd3b371937fde1b53f8dc79b","1985-08-26","1985-08-26",36,"Sinking","7GGXfgn7xbIs6xZV7qizmg",0.482,0.66,"E",-11.351,"minor",0.0339,0.268,0.477,0.168,0.641,142.286,290249,4,"E minor",25
"49","7qtRliQvQBu5v6LTi3gNDD","Kiss Me Kiss Me Kiss Me","https://i.scdn.co/image/d692e153fd1c928e98a1493100481ff94283c50f","1987-05-25","1987-05-25",40,"The Kiss - 2006 Remastered Version","0vkUqmXgUJxvuJ0yVRCmni",0.384,0.593,"G",-8.026,"major",0.0549,0.557,0.753,0.0937,0.42,157.531,376320,4,"G major",31
"50","7qtRliQvQBu5v6LTi3gNDD","Kiss Me Kiss Me Kiss Me","https://i.scdn.co/image/d692e153fd1c928e98a1493100481ff94283c50f","1987-05-25","1987-05-25",40,"Catch - 2006 Remastered Version","3HGTC34bsQwEdTV6u0PJz4",0.531,0.726,"D",-8.875,"major",0.0304,0.452,1.16e-06,0.215,0.606,104.984,163600,4,"D major",30
"51","7qtRliQvQBu5v6LTi3gNDD","Kiss Me Kiss Me Kiss Me","https://i.scdn.co/image/d692e153fd1c928e98a1493100481ff94283c50f","1987-05-25","1987-05-25",40,"Torture - 2006 Remastered Version","57kJI6reqk6NOBmpYYZs1I",0.554,0.918,"C",-5.928,"major",0.0372,0.165,0.00123,0.46,0.677,124.467,256640,4,"C major",25
"52","7qtRliQvQBu5v6LTi3gNDD","Kiss Me Kiss Me Kiss Me","https://i.scdn.co/image/d692e153fd1c928e98a1493100481ff94283c50f","1987-05-25","1987-05-25",40,"If Only Tonight We Could Sleep - 2006 Remastered Version","717QIXfxQT6WNgsJkWuOxy",0.601,0.439,"F",-11.192,"major",0.0257,0.251,0.0151,0.204,0.256,81.165,292520,4,"F major",27
"53","7qtRliQvQBu5v6LTi3gNDD","Kiss Me Kiss Me Kiss Me","https://i.scdn.co/image/d692e153fd1c928e98a1493100481ff94283c50f","1987-05-25","1987-05-25",40,"Why Can't I Be You? - 2006 Remastered Version","4E8AEddgGU3PHWQOGbXpMe",0.635,0.907,"C",-7.276,"minor",0.0383,0.417,2.09e-05,0.0725,0.812,107.681,193200,4,"C minor",32
"54","7qtRliQvQBu5v6LTi3gNDD","Kiss Me Kiss Me Kiss Me","https://i.scdn.co/image/d692e153fd1c928e98a1493100481ff94283c50f","1987-05-25","1987-05-25",40,"How Beautiful You Are - 2006 Remastered Version","4rl8gw5Pzen7r2CjB1fylc",0.493,0.897,"E",-7.606,"minor",0.0415,0.0835,0.000142,0.205,0.611,145.094,312560,4,"E minor",35
"55","7qtRliQvQBu5v6LTi3gNDD","Kiss Me Kiss Me Kiss Me","https://i.scdn.co/image/d692e153fd1c928e98a1493100481ff94283c50f","1987-05-25","1987-05-25",40,"The Snakepit - 2006 Remastered Version","5uVxmb4qA7bRLc6E9Dt1Hz",0.428,0.75,"A",-7.232,"minor",0.025,0.0327,0.802,0.48,0.762,173.793,417867,4,"A minor",23
"56","7qtRliQvQBu5v6LTi3gNDD","Kiss Me Kiss Me Kiss Me","https://i.scdn.co/image/d692e153fd1c928e98a1493100481ff94283c50f","1987-05-25","1987-05-25",40,"Hey You !!! - 2006 Remastered Version","1WUSs195It8jj78gYMD9CT",0.323,0.919,"D",-5.074,"major",0.0457,0.0281,0.000435,0.949,0.864,170.909,142813,4,"D major",23
"57","7qtRliQvQBu5v6LTi3gNDD","Kiss Me Kiss Me Kiss Me","https://i.scdn.co/image/d692e153fd1c928e98a1493100481ff94283c50f","1987-05-25","1987-05-25",40,"Just Like Heaven - 2006 Remastered Version","1KSkVwl54ghzE1jSbsVNBr",0.442,0.935,"A",-6.903,"major",0.0424,0.0524,0.000307,0.188,0.514,151.448,212013,4,"A major",45
"58","7qtRliQvQBu5v6LTi3gNDD","Kiss Me Kiss Me Kiss Me","https://i.scdn.co/image/d692e153fd1c928e98a1493100481ff94283c50f","1987-05-25","1987-05-25",40,"All I Want - 2006 Remastered Version","0rxwAlMPozO5s7twIpJq0T",0.384,0.913,"A",-5.455,"minor",0.0493,0.0426,0.000401,0.569,0.658,120.251,320907,4,"A minor",27
"59","7qtRliQvQBu5v6LTi3gNDD","Kiss Me Kiss Me Kiss Me","https://i.scdn.co/image/d692e153fd1c928e98a1493100481ff94283c50f","1987-05-25","1987-05-25",40,"Hot Hot Hot !!! - 2006 Remastered Version","7x8jinx6zTL74mN5cf8kq9",0.748,0.905,"A",-5.293,"minor",0.033,0.266,0.000128,0.0426,0.857,112.136,214240,4,"A minor",30
"60","7qtRliQvQBu5v6LTi3gNDD","Kiss Me Kiss Me Kiss Me","https://i.scdn.co/image/d692e153fd1c928e98a1493100481ff94283c50f","1987-05-25","1987-05-25",40,"One More Time - 2006 Remastered Version","0TDkinXBwm9P5QDIGdkZX8",0.456,0.53,"F#",-9.083,"major",0.0281,0.46,0.00592,0.121,0.373,102.107,271693,4,"F# major",26
"61","7qtRliQvQBu5v6LTi3gNDD","Kiss Me Kiss Me Kiss Me","https://i.scdn.co/image/d692e153fd1c928e98a1493100481ff94283c50f","1987-05-25","1987-05-25",40,"Like Cockatoos - 2006 Remastered Version","0VPpOH6jB9zcxhd4cRKSf0",0.54,0.953,"F",-9.3,"minor",0.0524,0.238,0.0428,0.966,0.343,96.127,219573,4,"F minor",25
"62","7qtRliQvQBu5v6LTi3gNDD","Kiss Me Kiss Me Kiss Me","https://i.scdn.co/image/d692e153fd1c928e98a1493100481ff94283c50f","1987-05-25","1987-05-25",40,"Icing Sugar - 2006 Remastered Version","3qWQzK7XZ8fAprUjaQUN5h",0.545,0.939,"C",-7.935,"minor",0.036,0.0841,0.819,0.111,0.751,142.627,228480,4,"C minor",22
"63","7qtRliQvQBu5v6LTi3gNDD","Kiss Me Kiss Me Kiss Me","https://i.scdn.co/image/d692e153fd1c928e98a1493100481ff94283c50f","1987-05-25","1987-05-25",40,"The Perfect Girl - 2006 Remastered Version","2no26rATSaJiyhZCyxKApg",0.618,0.817,"G",-6.774,"major",0.0296,0.31,8.92e-06,0.319,0.842,101.799,153040,4,"G major",27
"64","7qtRliQvQBu5v6LTi3gNDD","Kiss Me Kiss Me Kiss Me","https://i.scdn.co/image/d692e153fd1c928e98a1493100481ff94283c50f","1987-05-25","1987-05-25",40,"A Thousand Hours - 2006 Remastered Version","4qOuHC4OwqeZmne2rcuNKA",0.395,0.454,"D",-8.657,"major",0.0277,0.213,0.142,0.224,0.421,178.787,202813,4,"D major",24
"65","7qtRliQvQBu5v6LTi3gNDD","Kiss Me Kiss Me Kiss Me","https://i.scdn.co/image/d692e153fd1c928e98a1493100481ff94283c50f","1987-05-25","1987-05-25",40,"Shiver and Shake - 2006 Remastered Version","22MvhYcci5NbZQ9IK48jeY",0.336,0.956,"B",-6.97,"major",0.0545,0.0157,0.00401,0.587,0.429,153.775,208280,4,"B major",21
"66","7qtRliQvQBu5v6LTi3gNDD","Kiss Me Kiss Me Kiss Me","https://i.scdn.co/image/d692e153fd1c928e98a1493100481ff94283c50f","1987-05-25","1987-05-25",40,"Fight - 2006 Remastered Version","2zOxF9jOKpUvnVOgFzjcTv",0.481,0.869,"G",-6.72,"minor",0.0395,0.301,0.193,0.43,0.33,166.303,271960,4,"G minor",21
"67","7qtRliQvQBu5v6LTi3gNDD","Kiss Me Kiss Me Kiss Me","https://i.scdn.co/image/d692e153fd1c928e98a1493100481ff94283c50f","1987-05-25","1987-05-25",40,"The Kiss [RS Home Demo 3/86] [Instrumental]","2Rw1V1iP3aF9a9CUVm27w4",0.514,0.627,"G",-8.063,"major",0.267,0.0112,0.808,0.106,0.112,161.892,218587,4,"G major",16
"68","7qtRliQvQBu5v6LTi3gNDD","Kiss Me Kiss Me Kiss Me","https://i.scdn.co/image/d692e153fd1c928e98a1493100481ff94283c50f","1987-05-25","1987-05-25",40,"The Perfect Girl [Beethoven St. Studio Demo 6/86] [Instrumental","0UbX1LfxOGfmnHZGzsYuYe",0.553,0.671,"G",-8.72,"major",0.0271,0.122,0.884,0.423,0.523,101.993,204600,4,"G major",17
"86","6vQB3ZBxnQPP3jQcGV2qzg","Disintegration (Deluxe Edition [Remastered])","https://i.scdn.co/image/c1b4e971c42c8cecc91037fa1df994f7050a45fc","1989-05-02","1989-05-02",52,"Plainsong","76rfUs6iZBa3OCf8tCBn27",0.361,0.428,"C",-9.282,"major",0.0306,0.00451,0.66,0.0879,0.125,86.884,317347,4,"C major",40
"87","6vQB3ZBxnQPP3jQcGV2qzg","Disintegration (Deluxe Edition [Remastered])","https://i.scdn.co/image/c1b4e971c42c8cecc91037fa1df994f7050a45fc","1989-05-02","1989-05-02",52,"Pictures Of You","1tuwC1Ob5vnYZhvg3zyzJg",0.484,0.776,"A",-6.48,"major",0.0312,0.00371,0.109,0.131,0.495,171.935,448467,4,"A major",52
"88","6vQB3ZBxnQPP3jQcGV2qzg","Disintegration (Deluxe Edition [Remastered])","https://i.scdn.co/image/c1b4e971c42c8cecc91037fa1df994f7050a45fc","1989-05-02","1989-05-02",52,"Closedown","7BffxdidCNDN2cOP1XlCyv",0.516,0.748,"E",-7.184,"major",0.0281,0.292,0.763,0.11,0.719,93.927,258853,4,"E major",36
"89","6vQB3ZBxnQPP3jQcGV2qzg","Disintegration (Deluxe Edition [Remastered])","https://i.scdn.co/image/c1b4e971c42c8cecc91037fa1df994f7050a45fc","1989-05-02","1989-05-02",52,"Lovesong","0X5C4WjQNubRysTkHOubz3",0.611,0.813,"A",-7.689,"minor",0.0279,0.339,0.898,0.224,0.821,140.112,209573,4,"A minor",58
"90","6vQB3ZBxnQPP3jQcGV2qzg","Disintegration (Deluxe Edition [Remastered])","https://i.scdn.co/image/c1b4e971c42c8cecc91037fa1df994f7050a45fc","1989-05-02","1989-05-02",52,"Last Dance","4muRKfZjpRvjoi4eAOAYot",0.322,0.785,"A",-6.346,"minor",0.0534,0.444,0.587,0.191,0.446,184.01,285067,4,"A minor",35
