dex,pokemon,fastmove,chargemove,WeaveDPS,WeaveDPS Percentile,TDO,TDO Percentile,~TDO per CP,~SurvivalTime
257,blaziken,fire spin,focus blast,15.3,82.97,256,35.16,0.06,12.70851
65,alakazam,confusion,psychic,15.18,82.32,243,33.38,0.05,12.15343
244,entei,fire spin,overheat,15.18,82.32,436,59.89,0.08,21.84525
145,zapdos,thunder shock,thunderbolt,15.15,82.16,368,50.55,0.07,18.46574
136,flareon,fire spin,flamethrower,15.13,82.05,294,40.38,0.06,14.7922
94,gengar,shadow claw,focus blast,15.11,81.94,213,29.26,0.05,10.73414
103,exeggutor,confusion,solar beam,15.09,81.83,328,45.05,0.07,16.53379
382,kyogre,waterfall,blizzard,15.09,81.83,486,66.76,0.08,24.4746
94,gengar,shadow claw,sludge wave,15.07,81.72,213,29.26,0.05,10.73414
297,hariyama,counter,dynamic punch,15.06,81.67,361,49.59,0.08,18.21506
68,machamp,karate chop,dynamic punch,15.03,81.51,318,43.68,0.07,16.08896
145,zapdos,thunder shock,zap cannon,15.01,81.4,365,50.14,0.07,18.46574
382,kyogre,waterfall,thunder,15,81.34,483,66.35,0.07,24.4746
244,entei,fire spin,flamethrower,14.95,81.07,430,59.07,0.08,21.84525
146,moltres,fire spin,fire blast,14.9,80.8,355,48.76,0.07,18.10008
383,groudon,dragon tail,earthquake,14.9,80.8,480,65.93,0.07,24.4746
243,raikou,volt switch,wild charge,14.89,80.75,401,55.08,0.08,20.47686
282,gardevoir,confusion,dazzling gleam,14.86,80.59,323,44.37,0.07,16.53944
244,entei,fire fang,overheat,14.83,80.42,426,58.52,0.08,21.84525
149,dragonite,dragon breath,dragon pulse,14.8,80.26,387,53.16,0.07,19.85675
94,gengar,hex,shadow ball,14.79,80.21,209,28.71,0.05,10.73414
124,jynx,confusion,avalanche,14.79,80.21,259,35.58,0.07,13.29941
381,latios,dragon breath,solar beam,14.78,80.15,386,53.02,0.07,19.84167
65,alakazam,psycho cut,shadow ball,14.76,80.04,236,32.42,0.05,12.15343
286,breloom,counter,seed bomb,14.74,79.93,204,28.02,0.05,10.54472
149,dragonite,dragon breath,hurricane,14.72,79.83,384,52.75,0.07,19.85675
196,espeon,zen headbutt,futuresight,14.72,79.83,273,37.5,0.06,14.11366
145,zapdos,charge beam,thunderbolt,14.7,79.72,357,49.04,0.07,18.46574
145,zapdos,thunder shock,discharge,14.68,79.61,357,49.04,0.07,18.46574
248,tyranitar,bite,stone edge,14.68,79.61,440,60.44,0.08,22.78956
93,haunter,shadow claw,shadow ball,14.66,79.5,119,16.35,0.04,6.174724
196,espeon,confusion,psychic,14.64,79.39,272,37.36,0.06,14.11366
244,entei,fire fang,flamethrower,14.64,79.39,421,57.83,0.08,21.84525
65,alakazam,confusion,dazzling gleam,14.61,79.23,234,32.14,0.05,12.15343
146,moltres,ember,overheat,14.61,79.23,348,47.8,0.07,18.10008
65,alakazam,psycho cut,futuresight,14.58,79.07,233,32.01,0.05,12.15343
94,gengar,sucker punch,shadow ball,14.57,79.01,206,28.3,0.05,10.73414
146,moltres,ember,flamethrower,14.56,78.96,347,47.66,0.07,18.10008
136,flareon,fire spin,fire blast,14.53,78.8,283,38.87,0.06,14.7922
103,exeggutor,extrasensory,solar beam,14.52,78.74,316,43.41,0.07,16.53379
68,machamp,counter,cross chop,14.49,78.58,307,42.17,0.07,16.08896
145,zapdos,charge beam,zap cannon,14.49,78.58,352,48.35,0.07,18.46574
6,charizard,fire spin,overheat,14.45,78.36,289,39.7,0.07,15.22005
149,dragonite,dragon breath,hyper beam,14.42,78.2,377,51.79,0.07,19.85675
149,dragonite,steel wing,dragon pulse,14.41,78.15,376,51.65,0.07,19.85675
383,groudon,dragon tail,solar beam,14.41,78.15,464,63.74,0.07,24.4746
243,raikou,thunder shock,thunderbolt,14.37,77.93,387,53.16,0.07,20.47686
68,machamp,counter,close combat,14.35,77.82,304,41.76,0.07,16.08896
383,groudon,mud shot,solar beam,14.32,77.66,461,63.32,0.07,24.4746
145,zapdos,charge beam,discharge,14.31,77.6,348,47.8,0.07,18.46574
93,haunter,shadow claw,sludge bomb,14.3,77.55,116,15.93,0.04,6.174724
130,gyarados,waterfall,hydro pump,14.29,77.49,381,52.34,0.07,20.28273
381,latios,zen headbutt,solar beam,14.28,77.44,373,51.24,0.06,19.84167
385,jirachi,charge beam,doom desire,14.28,77.44,424,58.24,0.09,22.58788
282,gardevoir,confusion,shadow ball,14.24,77.22,310,42.58,0.07,16.53944
354,banette,shadow claw,shadow ball,14.23,77.17,177,24.31,0.05,9.434549
103,exeggutor,confusion,seed bomb,14.22,77.11,309,42.45,0.07,16.53379
136,flareon,ember,overheat,14.22,77.11,277,38.05,0.06,14.7922
381,latios,dragon breath,psychic,14.22,77.11,371,50.96,0.06,19.84167
229,houndoom,fire fang,foul play,14.21,77.06,250,34.34,0.06,13.36915
149,dragonite,steel wing,hurricane,14.2,77.01,371,50.96,0.07,19.85675
214,heracross,counter,close combat,14.2,77.01,311,42.72,0.07,16.64405
217,ursaring,counter,hyper beam,14.19,76.95,270,37.09,0.06,14.4435
384,rayquaza,dragon tail,ancient power,14.17,76.84,331,45.47,0.06,17.77401
103,exeggutor,zen headbutt,solar beam,14.13,76.63,307,42.17,0.07,16.53379
286,breloom,counter,sludge bomb,14.12,76.57,196,26.92,0.05,10.54472
297,hariyama,counter,close combat,14.05,76.19,337,46.29,0.08,18.21506
244,entei,fire spin,fire blast,14.04,76.14,403,55.36,0.08,21.84525
124,jynx,frost breath,avalanche,14,75.92,245,33.65,0.06,13.29941
68,machamp,karate chop,close combat,13.97,75.76,296,40.66,0.06,16.08896
229,houndoom,snarl,foul play,13.96,75.7,245,33.65,0.06,13.36915
103,exeggutor,extrasensory,seed bomb,13.94,75.6,303,41.62,0.07,16.53379
149,dragonite,steel wing,hyper beam,13.94,75.6,364,50,0.06,19.85675
243,raikou,volt switch,thunderbolt,13.94,75.6,375,51.51,0.07,20.47686
68,machamp,bullet punch,dynamic punch,13.93,75.54,295,40.52,0.06,16.08896
196,espeon,confusion,psybeam,13.93,75.54,259,35.58,0.05,14.11366
376,metagross,zen headbutt,flash cannon,13.93,75.54,392,53.85,0.07,21.39949
6,charizard,fire spin,flamethrower,13.92,75.49,279,38.32,0.07,15.22005
59,arcanine,fire fang,flamethrower,13.9,75.38,301,41.35,0.07,16.45462
248,tyranitar,bite,crunch,13.89,75.33,416,57.14,0.07,22.78956
68,machamp,counter,heavy slam,13.85,75.11,293,40.25,0.06,16.08896
383,groudon,mud shot,earthquake,13.85,75.11,446,61.26,0.07,24.4746
145,zapdos,thunder shock,thunder,13.84,75.05,336,46.15,0.06,18.46574
376,metagross,bullet punch,flash cannon,13.84,75.05,390,53.57,0.07,21.39949
68,machamp,counter,submission,13.83,75,293,40.25,0.06,16.08896
376,metagross,zen headbutt,psychic,13.81,74.89,389,53.43,0.07,21.39949
93,haunter,lick,shadow ball,13.78,74.73,112,15.38,0.04,6.174724
136,flareon,ember,flamethrower,13.78,74.73,268,36.81,0.06,14.7922
373,salamence,fire fang,hydro pump,13.78,74.73,317,43.54,0.06,17.49505
146,moltres,fire spin,heat wave,13.77,74.67,328,45.05,0.06,18.10008
214,heracross,counter,megahorn,13.77,74.67,301,41.35,0.06,16.64405
376,metagross,bullet punch,psychic,13.72,74.4,386,53.02,0.07,21.39949
71,victreebel,razor leaf,sludge bomb,13.7,74.3,225,30.91,0.06,12.46254
244,entei,fire fang,fire blast,13.7,74.3,394,54.12,0.07,21.84525
257,blaziken,counter,brave bird,13.69,74.24,229,31.46,0.05,12.70851
6,charizard,air slash,overheat,13.67,74.13,274,37.64,0.06,15.22005
319,sharpedo,waterfall,crunch,13.67,74.13,127,17.45,0.04,7.038922
94,gengar,shadow claw,dark pulse,13.66,74.08,193,26.51,0.05,10.73414
381,latios,zen headbutt,psychic,13.66,74.08,356,48.9,0.06,19.84167
380,latias,dragon breath,dragon claw,13.65,74.02,415,57.01,0.08,23.12129
59,arcanine,fire fang,wild charge,13.61,73.81,295,40.52,0.07,16.45462
124,jynx,pound,avalanche,13.58,73.64,238,32.69,0.06,13.29941
130,gyarados,waterfall,outrage,13.58,73.64,362,49.73,0.07,20.28273
64,kadabra,confusion,shadow ball,13.55,73.48,120,16.48,0.04,6.732636
250,ho oh,steel wing,fire blast,13.53,73.37,500,68.68,0.08,28.0916
71,victreebel,razor leaf,leaf blade,13.52,73.32,222,30.49,0.06,12.46254
217,ursaring,metal claw,hyper beam,13.5,73.21,256,35.16,0.06,14.4435
71,victreebel,acid,sludge bomb,13.49,73.16,221,30.36,0.06,12.46254
127,pinsir,bug bite,x scissor,13.47,73.05,254,34.89,0.06,14.31722
196,espeon,zen headbutt,psychic,13.46,72.99,250,34.34,0.05,14.11366
332,cacturne,sucker punch,grass knot,13.46,72.99,166,22.8,0.05,9.36104
103,exeggutor,zen headbutt,seed bomb,13.45,72.94,292,40.11,0.06,16.53379
359,absol,snarl,dark pulse,13.45,72.94,161,22.12,0.04,9.092451
383,groudon,dragon tail,fire blast,13.45,72.94,433,59.48,0.07,24.4746
71,victreebel,razor leaf,solar beam,13.44,72.89,220,30.22,0.06,12.46254
136,flareon,fire spin,heat wave,13.44,72.89,261,35.85,0.06,14.7922
297,hariyama,bullet punch,dynamic punch,13.44,72.89,322,44.23,0.07,18.21506
212,scizor,bullet punch,x scissor,13.42,72.78,263,36.13,0.06,14.87607
310,manectric,charge beam,wild charge,13.42,72.78,181,24.86,0.05,10.23183
68,machamp,counter,stone edge,13.41,72.72,284,39.01,0.06,16.08896
6,charizard,wing attack,overheat,13.4,72.67,268,36.81,0.06,15.22005
135,jolteon,thunder shock,thunderbolt,13.4,72.67,257,35.3,0.06,14.58863
130,gyarados,dragon tail,hydro pump,13.39,72.61,357,49.04,0.07,20.28273
254,sceptile,fury cutter,leaf blade,13.38,72.56,248,34.07,0.06,14.07784
373,salamence,fire fang,fire blast,13.38,72.56,308,42.31,0.05,17.49505
380,latias,zen headbutt,dragon claw,13.38,72.56,407,55.91,0.08,23.12129
146,moltres,ember,fire blast,13.37,72.51,318,43.68,0.06,18.10008
6,charizard,fire spin,fire blast,13.36,72.45,267,36.68,0.06,15.22005
93,haunter,lick,sludge bomb,13.36,72.45,109,14.97,0.04,6.174724
124,jynx,confusion,ice punch,13.36,72.45,234,32.14,0.06,13.29941
254,sceptile,bullet seed,leaf blade,13.35,72.4,247,33.93,0.06,14.07784
248,tyranitar,iron tail,crunch,13.34,72.34,400,54.95,0.07,22.78956
68,machamp,karate chop,cross chop,13.32,72.23,282,38.74,0.06,16.08896
103,exeggutor,confusion,psychic,13.32,72.23,290,39.84,0.06,16.53379
59,arcanine,fire fang,fire blast,13.31,72.18,288,39.56,0.06,16.45462
257,blaziken,fire spin,brave bird,13.31,72.18,222,30.49,0.05,12.70851
65,alakazam,psycho cut,focus blast,13.29,72.07,212,29.12,0.05,12.15343
71,victreebel,acid,leaf blade,13.28,72.02,218,29.95,0.06,12.46254
282,gardevoir,confusion,psychic,13.27,71.96,289,39.7,0.06,16.53944
330,flygon,dragon tail,dragon claw,13.26,71.91,260,35.71,0.07,14.92225
145,zapdos,charge beam,thunder,13.24,71.8,322,44.23,0.06,18.46574
135,jolteon,thunder shock,discharge,13.23,71.75,254,34.89,0.06,14.58863
275,shiftry,razor leaf,leaf blade,13.22,71.69,215,29.53,0.06,12.34097
6,charizard,air slash,flamethrower,13.21,71.64,264,36.26,0.06,15.22005
332,cacturne,poison jab,grass knot,13.21,71.64,163,22.39,0.05,9.36104
384,rayquaza,air slash,ancient power,13.2,71.58,309,42.45,0.05,17.77401
157,typhlosion,shadow claw,overheat,13.18,71.48,264,36.26,0.06,15.22005
229,houndoom,fire fang,fire blast,13.18,71.48,232,31.87,0.06,13.36915
3,venusaur,vine whip,sludge bomb,13.13,71.2,300,41.21,0.07,17.38196
71,victreebel,acid,solar beam,13.13,71.2,215,29.53,0.06,12.46254
319,sharpedo,bite,crunch,13.13,71.2,122,16.76,0.04,7.038922
6,charizard,ember,overheat,13.12,71.15,263,36.13,0.06,15.22005
157,typhlosion,ember,overheat,13.12,71.15,263,36.13,0.06,15.22005
217,ursaring,counter,play rough,13.11,71.1,249,34.2,0.06,14.4435
59,arcanine,snarl,flamethrower,13.1,71.04,284,39.01,0.06,16.45462
243,raikou,thunder shock,thunder,13.1,71.04,353,48.49,0.07,20.47686
124,jynx,confusion,psyshock,13.09,70.99,229,31.46,0.06,13.29941
275,shiftry,razor leaf,foul play,13.08,70.93,212,29.12,0.06,12.34097
127,pinsir,fury cutter,x scissor,13.07,70.88,246,33.79,0.06,14.31722
250,ho oh,extrasensory,fire blast,13.07,70.88,483,66.35,0.08,28.0916
135,jolteon,volt switch,thunderbolt,13.05,70.77,250,34.34,0.06,14.58863
196,espeon,zen headbutt,psybeam,13.04,70.72,242,33.24,0.05,14.11366
248,tyranitar,bite,fire blast,13.04,70.72,391,53.71,0.07,22.78956
136,flareon,ember,fire blast,13.03,70.66,254,34.89,0.06,14.7922
248,tyranitar,iron tail,stone edge,13.03,70.66,391,53.71,0.07,22.78956
212,scizor,bullet punch,iron head,13.01,70.55,255,35.03,0.06,14.87607
65,alakazam,psycho cut,psychic,13,70.5,208,28.57,0.05,12.15343
212,scizor,fury cutter,x scissor,12.99,70.44,254,34.89,0.06,14.87607
250,ho oh,steel wing,brave bird,12.98,70.39,480,65.93,0.08,28.0916
68,machamp,karate chop,heavy slam,12.97,70.34,274,37.64,0.06,16.08896
6,charizard,wing attack,flamethrower,12.95,70.23,259,35.58,0.06,15.22005
68,machamp,karate chop,submission,12.95,70.23,274,37.64,0.06,16.08896
135,jolteon,volt switch,discharge,12.95,70.23,248,34.07,0.06,14.58863
297,hariyama,counter,heavy slam,12.95,70.23,310,42.58,0.07,18.21506
214,heracross,counter,earthquake,12.93,70.12,283,38.87,0.06,16.64405
275,shiftry,feint attack,leaf blade,12.93,70.12,210,28.85,0.06,12.34097
383,groudon,mud shot,fire blast,12.93,70.12,416,57.14,0.06,24.4746
103,exeggutor,bullet seed,solar beam,12.92,70.07,281,38.6,0.06,16.53379
250,ho oh,extrasensory,solar beam,12.92,70.07,477,65.52,0.08,28.0916
45,vileplume,razor leaf,solar beam,12.91,70.01,241,33.1,0.06,14.21921
359,absol,snarl,thunder,12.91,70.01,154,21.15,0.04,9.092451
57,primeape,counter,close combat,12.9,69.96,182,25,0.05,10.72095
212,scizor,fury cutter,iron head,12.9,69.96,252,34.62,0.06,14.87607
94,gengar,hex,focus blast,12.86,69.74,182,25,0.04,10.73414
130,gyarados,dragon tail,outrage,12.85,69.69,343,47.12,0.07,20.28273
286,breloom,bullet seed,dynamic punch,12.85,69.69,178,24.45,0.05,10.54472
139,omastar,rock throw,rock slide,12.84,69.63,295,40.52,0.07,17.48846
229,houndoom,snarl,fire blast,12.8,69.41,225,30.91,0.06,13.36915
251,celebi,confusion,hyper beam,12.79,69.36,380,52.2,0.08,22.58788
376,metagross,bullet punch,earthquake,12.79,69.36,360,49.45,0.06,21.39949
64,kadabra,confusion,dazzling gleam,12.78,69.31,113,15.52,0.04,6.732636
94,gengar,hex,sludge wave,12.78,69.31,180,24.73,0.04,10.73414
57,primeape,counter,cross chop,12.77,69.25,180,24.73,0.05,10.72095
260,swampert,water gun,surf,12.77,69.25,320,43.96,0.07,19.05852
210,granbull,snarl,play rough,12.76,69.2,232,31.87,0.06,13.8036
275,shiftry,feint attack,foul play,12.76,69.2,207,28.43,0.06,12.34097
3,venusaur,razor leaf,sludge bomb,12.75,69.14,291,39.97,0.07,17.38196
103,exeggutor,bullet seed,seed bomb,12.74,69.09,277,38.05,0.06,16.53379
250,ho oh,extrasensory,brave bird,12.72,68.98,470,64.56,0.08,28.0916
6,charizard,fire spin,dragon claw,12.71,68.93,254,34.89,0.06,15.22005
282,gardevoir,charge beam,dazzling gleam,12.71,68.93,276,37.91,0.06,16.53944
130,gyarados,waterfall,dragon pulse,12.7,68.87,339,46.57,0.07,20.28273
139,omastar,rock throw,hydro pump,12.7,68.87,292,40.11,0.07,17.48846
250,ho oh,steel wing,solar beam,12.7,68.87,469,64.42,0.08,28.0916
6,charizard,ember,flamethrower,12.69,68.82,254,34.89,0.06,15.22005
380,latias,dragon breath,psychic,12.68,68.76,386,53.02,0.07,23.12129
65,alakazam,psycho cut,dazzling gleam,12.67,68.71,203,27.88,0.04,12.15343
243,raikou,volt switch,thunder,12.67,68.71,341,46.84,0.06,20.47686
94,gengar,sucker punch,focus blast,12.66,68.66,179,24.59,0.04,10.73414
354,banette,hex,shadow ball,12.66,68.66,157,21.57,0.05,9.434549
123,scyther,air slash,x scissor,12.65,68.6,222,30.49,0.06,13.35218
68,machamp,karate chop,stone edge,12.64,68.55,267,36.68,0.06,16.08896
124,jynx,frost breath,ice punch,12.64,68.55,221,30.36,0.06,13.29941
6,charizard,air slash,fire blast,12.63,68.49,253,34.75,0.06,15.22005
45,vileplume,acid,solar beam,12.63,68.49,236,32.42,0.06,14.21921
260,swampert,mud shot,surf,12.61,68.38,316,43.41,0.07,19.05852
342,crawdaunt,waterfall,bubble beam,12.61,68.38,186,25.55,0.05,11.21478
93,haunter,astonish,shadow ball,12.6,68.33,102,14.01,0.04,6.174724
210,granbull,bite,play rough,12.6,68.33,229,31.46,0.06,13.8036
103,exeggutor,extrasensory,psychic,12.59,68.28,274,37.64,0.06,16.53379
94,gengar,sucker punch,sludge wave,12.57,68.17,177,24.31,0.04,10.73414
229,houndoom,fire fang,crunch,12.57,68.17,221,30.36,0.06,13.36915
342,crawdaunt,waterfall,night slash,12.57,68.17,185,25.41,0.05,11.21478
359,absol,snarl,megahorn,12.57,68.17,150,20.6,0.04,9.092451
85,dodrio,steel wing,drill peck,12.56,68.11,166,22.8,0.05,10.03958
89,muk,poison jab,gunk shot,12.56,68.11,345,47.39,0.08,20.89907
3,venusaur,razor leaf,solar beam,12.53,67.95,286,39.29,0.07,17.38196
59,arcanine,bite,flamethrower,12.53,67.95,271,37.23,0.06,16.45462
76,golem,rock throw,stone edge,12.51,67.84,328,45.05,0.07,19.92366
78,rapidash,fire spin,fire blast,12.5,67.79,202,27.75,0.06,12.28159
217,ursaring,metal claw,play rough,12.5,67.79,237,32.55,0.05,14.4435
130,gyarados,bite,hydro pump,12.48,67.68,333,45.74,0.06,20.28273
130,gyarados,dragon breath,hydro pump,12.48,67.68,333,45.74,0.06,20.28273
251,celebi,confusion,psychic,12.48,67.68,371,50.96,0.08,22.58788
310,manectric,snarl,wild charge,12.48,67.68,168,23.08,0.05,10.23183
385,jirachi,confusion,psychic,12.48,67.68,371,50.96,0.08,22.58788
3,venusaur,vine whip,solar beam,12.47,67.62,285,39.15,0.07,17.38196
112,rhydon,mud slap,stone edge,12.47,67.62,381,52.34,0.07,23.22119
160,feraligatr,waterfall,hydro pump,12.47,67.62,300,41.21,0.07,18.29422
286,breloom,bullet seed,seed bomb,12.45,67.52,173,23.76,0.05,10.54472
59,arcanine,snarl,wild charge,12.43,67.41,269,36.95,0.06,16.45462
124,jynx,frost breath,psyshock,12.43,67.41,217,29.81,0.05,13.29941
82,magneton,spark,discharge,12.4,67.25,172,23.63,0.05,10.5287
330,flygon,dragon tail,earthquake,12.4,67.25,243,33.38,0.06,14.92225
123,scyther,steel wing,x scissor,12.39,67.19,218,29.95,0.06,13.35218
82,magneton,thunder shock,discharge,12.38,67.14,171,23.49,0.05,10.5287
376,metagross,zen headbutt,earthquake,12.37,67.08,348,47.8,0.06,21.39949
127,pinsir,rock smash,x scissor,12.36,67.03,233,32.01,0.05,14.31722
248,tyranitar,iron tail,fire blast,12.34,66.92,370,50.82,0.06,22.78956
82,magneton,spark,magnet bomb,12.33,66.87,171,23.49,0.05,10.5287
59,arcanine,bite,wild charge,12.31,66.76,266,36.54,0.06,16.45462
134,vaporeon,water gun,hydro pump,12.31,66.76,399,54.81,0.08,24.66026
306,aggron,iron tail,heavy slam,12.31,66.76,385,52.88,0.08,23.80172
350,milotic,waterfall,surf,12.31,66.76,398,54.67,0.08,24.60843
76,golem,rock throw,rock blast,12.3,66.7,322,44.23,0.07,19.92366
82,magneton,thunder shock,magnet bomb,12.3,66.7,170,23.35,0.05,10.5287
130,gyarados,waterfall,crunch,12.3,66.7,328,45.05,0.06,20.28273
354,banette,shadow claw,thunder,12.3,66.7,153,21.02,0.05,9.434549
76,golem,rock throw,earthquake,12.29,66.65,322,44.23,0.07,19.92366
169,crobat,air slash,sludge bomb,12.29,66.65,269,36.95,0.07,16.64688
249,lugia,extrasensory,sky attack,12.29,66.65,580,79.67,0.1,35.88823
286,breloom,bullet seed,sludge bomb,12.29,66.65,170,23.35,0.04,10.54472
103,exeggutor,zen headbutt,psychic,12.27,66.54,267,36.68,0.06,16.53379
112,rhydon,mud slap,surf,12.27,66.54,375,51.51,0.07,23.22119
112,rhydon,mud slap,earthquake,12.27,66.54,375,51.51,0.07,23.22119
380,latias,zen headbutt,psychic,12.27,66.54,373,51.24,0.07,23.12129
229,houndoom,snarl,crunch,12.26,66.49,216,29.67,0.05,13.36915
89,muk,acid,gunk shot,12.24,66.38,336,46.15,0.08,20.89907
26,raichu,spark,wild charge,12.23,66.32,182,25,0.06,11.30242
26,raichu,thunder shock,wild charge,12.23,66.32,182,25,0.06,11.30242
6,charizard,wing attack,fire blast,12.22,66.27,245,33.65,0.06,15.22005
249,lugia,extrasensory,futuresight,12.22,66.27,577,79.26,0.1,35.88823
82,magneton,spark,zap cannon,12.21,66.21,169,23.21,0.05,10.5287
124,jynx,pound,ice punch,12.2,66.16,213,29.26,0.05,13.29941
251,celebi,confusion,dazzling gleam,12.2,66.16,362,49.73,0.07,22.58788
354,banette,shadow claw,dazzling gleam,12.2,66.16,151,20.74,0.05,9.434549
385,jirachi,confusion,dazzling gleam,12.2,66.16,362,49.73,0.07,22.58788
82,magneton,thunder shock,zap cannon,12.17,66,169,23.21,0.05,10.5287
130,gyarados,bite,outrage,12.17,66,325,44.64,0.06,20.28273
130,gyarados,dragon breath,outrage,12.17,66,325,44.64,0.06,20.28273
217,ursaring,counter,close combat,12.16,65.94,231,31.73,0.05,14.4435
380,latias,dragon breath,thunder,12.16,65.94,370,50.82,0.07,23.12129
64,kadabra,confusion,psybeam,12.15,65.89,108,14.84,0.04,6.732636
114,tangela,vine whip,grass knot,12.15,65.89,237,32.55,0.07,14.86005
114,tangela,vine whip,power whip,12.15,65.89,237,32.55,0.07,14.86005
123,scyther,fury cutter,x scissor,12.15,65.89,213,29.26,0.05,13.35218
106,hitmonlee,rock smash,close combat,12.13,65.78,193,26.51,0.05,12.08651
157,typhlosion,shadow claw,fire blast,12.13,65.78,243,33.38,0.06,15.22005
230,kingdra,dragon breath,outrage,12.11,65.67,256,35.16,0.07,16.07389
6,charizard,air slash,dragon claw,12.1,65.62,242,33.24,0.06,15.22005
68,machamp,bullet punch,cross chop,12.1,65.62,256,35.16,0.06,16.08896
146,moltres,ember,heat wave,12.1,65.62,288,39.56,0.06,18.10008
45,vileplume,razor leaf,petal blizzard,12.09,65.56,226,31.04,0.06,14.21921
93,haunter,astonish,sludge bomb,12.09,65.56,98,13.46,0.04,6.174724
93,haunter,shadow claw,shadow punch,12.05,65.35,98,13.46,0.04,6.174724
143,snorlax,lick,hyper beam,12.05,65.35,509,69.92,0.1,32.1063
99,kingler,bubble,x scissor,12.04,65.29,211,28.98,0.05,13.32202
62,poliwrath,bubble,dynamic punch,12.02,65.18,290,39.84,0.07,18.37433
6,charizard,ember,fire blast,12,65.08,240,32.97,0.06,15.22005
82,magneton,charge beam,discharge,12,65.08,166,22.8,0.05,10.5287
124,jynx,pound,psyshock,12,65.08,210,28.85,0.05,13.29941
142,aerodactyl,steel wing,hyper beam,12,65.08,230,31.59,0.06,14.59429
157,typhlosion,ember,fire blast,12,65.08,240,32.97,0.06,15.22005
157,typhlosion,shadow claw,solar beam,12,65.08,240,32.97,0.06,15.22005
